/Users/ValenXie/assignment-2022fall/assignment3/core
/Users/ValenXie/assignment-2022fall/assignment3/core
Successfully load weights from /Users/ValenXie/assignment-2022fall/assignment3/core/checkpoint-expert.pkl!
Generated 1000/30000 steps from the expert. Average episode reward: 135.621, success rate: 0.033
Generated 2000/30000 steps from the expert. Average episode reward: 145.528, success rate: 0.032
Generated 3000/30000 steps from the expert. Average episode reward: 149.332, success rate: 0.032
Generated 30000 steps from the expert. Average episode reward: 149.332, success rate: 0.032
Start training!
===== gail Training Iteration 0 =====:
  adv_mean: null
  discriminator_loss: 0.4629670317404163
  entropy: 2.776464687555264
  episode_reward: 8.423422065571476
  frame_per_second: 138
  gail_reward: 0.01096965164089432
  grad_norm: 0.896281193005733
  iteration: 0
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.012638162301542858
  ratio: 1.001472683212696
  success_rate: 0.0
  total_episodes: 18
  total_loss: -0.012638162284229811
  total_steps: 20000
  total_time: 144.5368628501892

Trainer is saved at </Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail/checkpoint-iter0.pkl>. Progress is saved at </Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail/progress.csv>.
===== gail Training Iteration 1 =====:
  adv_mean: null
  discriminator_loss: 0.08290351662211694
  entropy: 2.719530910406357
  episode_reward: 13.161621918329125
  frame_per_second: 137
  gail_reward: 0.0189292111625083
  grad_norm: 2.2428019700906217
  iteration: 1
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.021156685041168178
  ratio: 1.000793312681027
  success_rate: 0.0
  total_episodes: 44
  total_loss: -0.021156685022064126
  total_steps: 40000
  total_time: 291.66600704193115

===== gail Training Iteration 2 =====:
  adv_mean: null
  discriminator_loss: 0.0749584038909047
  entropy: 2.6422706778232867
  episode_reward: 15.383197798062671
  frame_per_second: 129
  gail_reward: 0.009141369461893844
  grad_norm: 0.7573861925265728
  iteration: 2
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.010090943047991739
  ratio: 1.0016923992297588
  success_rate: 0.0
  total_episodes: 76
  total_loss: -0.010090943089184852
  total_steps: 60000
  total_time: 461.89631271362305

===== gail Training Iteration 3 =====:
  adv_mean: null
  discriminator_loss: 0.08179587633229601
  entropy: 2.6089238478587222
  episode_reward: 15.18488199737201
  frame_per_second: 121
  gail_reward: 0.022374913404480768
  grad_norm: 2.228951885150029
  iteration: 3
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.023921389490939103
  ratio: 0.9985871432683406
  success_rate: 0.0
  total_episodes: 148
  total_loss: -0.02392138945034299
  total_steps: 80000
  total_time: 659.4954040050507

===== gail Training Iteration 4 =====:
  adv_mean: null
  discriminator_loss: 0.09031597032952003
  entropy: 2.5391716568897933
  episode_reward: 11.881344404067127
  frame_per_second: 115
  gail_reward: 0.01720595797523856
  grad_norm: 1.405045752494763
  iteration: 4
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.01798050727766867
  ratio: 1.0037111991491072
  success_rate: 0.0
  total_episodes: 272
  total_loss: -0.017980507268116643
  total_steps: 100000
  total_time: 862.2504498958588

===== gail Training Iteration 5 =====:
  adv_mean: null
  discriminator_loss: 0.09543217866180034
  entropy: 2.430969635951213
  episode_reward: 9.774668564248504
  frame_per_second: 111
  gail_reward: 0.03326634820789481
  grad_norm: 1.1071080305637457
  iteration: 5
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.033872276000105415
  ratio: 1.0024577000202277
  success_rate: 0.0
  total_episodes: 464
  total_loss: -0.03387227610517771
  total_steps: 120000
  total_time: 1079.628066778183

===== gail Training Iteration 6 =====:
  adv_mean: null
  discriminator_loss: 0.10247182435809801
  entropy: 2.2590777452175432
  episode_reward: 7.0585438143457315
  frame_per_second: 105
  gail_reward: 0.023059593461071833
  grad_norm: 0.2566432427710448
  iteration: 6
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.02329152732466658
  ratio: 0.9971198562628184
  success_rate: 0.0
  total_episodes: 725
  total_loss: -0.02329152728168246
  total_steps: 140000
  total_time: 1331.9212169647217

===== gail Training Iteration 7 =====:
  adv_mean: null
  discriminator_loss: 0.10545083968303143
  entropy: 2.045846560368171
  episode_reward: 5.286681936268162
  frame_per_second: 87
  gail_reward: 0.016663842329468864
  grad_norm: 1.3086556604275337
  iteration: 7
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.01696127801417158
  ratio: 1.0019892676518514
  success_rate: 0.0
  total_episodes: 1049
  total_loss: -0.01696127803446964
  total_steps: 160000
  total_time: 1838.0716609954834

===== gail Training Iteration 8 =====:
  adv_mean: null
  discriminator_loss: 0.11652863566787579
  entropy: 1.8748995857361035
  episode_reward: 8.4440651102742
  frame_per_second: 75
  gail_reward: 0.01705875374042453
  grad_norm: 1.5092781458145532
  iteration: 8
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.017527158164347592
  ratio: 0.9975416146791898
  success_rate: 0.0
  total_episodes: 1383
  total_loss: -0.017527158085543375
  total_steps: 180000
  total_time: 2376.566191673279

===== gail Training Iteration 9 =====:
  adv_mean: null
  discriminator_loss: 0.13446539835765575
  entropy: 1.6990117115852161
  episode_reward: 7.741464095497271
  frame_per_second: 72
  gail_reward: 0.03850003975945023
  grad_norm: 1.1095138896734287
  iteration: 9
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.03938883810471266
  ratio: 0.999432797691761
  success_rate: 0.0
  total_episodes: 1735
  total_loss: -0.039388837887404056
  total_steps: 200000
  total_time: 2747.5682187080383

===== gail Training Iteration 10 =====:
  adv_mean: null
  discriminator_loss: 0.15712324551855905
  entropy: 1.510992980767519
  episode_reward: 15.322611582487754
  frame_per_second: 70
  gail_reward: 0.033862662370292805
  grad_norm: 0.2136057995641843
  iteration: 10
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.03455118802495492
  ratio: 0.9991103406135853
  success_rate: 0.0
  total_episodes: 2051
  total_loss: -0.03455118795570273
  total_steps: 220000
  total_time: 3104.249575853348

Trainer is saved at </Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail/checkpoint-iter10.pkl>. Progress is saved at </Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail/progress.csv>.
===== gail Training Iteration 11 =====:
  adv_mean: null
  discriminator_loss: 0.1696448078331275
  entropy: 1.3660183003315558
  episode_reward: 14.264278839542971
  frame_per_second: 68
  gail_reward: 0.059077193134297164
  grad_norm: 2.383753877419692
  iteration: 11
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.059909051408370335
  ratio: 0.9990237122162794
  success_rate: 0.0
  total_episodes: 2406
  total_loss: -0.05990905144657844
  total_steps: 240000
  total_time: 3482.674196958542

===== gail Training Iteration 12 =====:
  adv_mean: null
  discriminator_loss: 0.17320771629038528
  entropy: 1.2173982644692445
  episode_reward: 11.388539128717902
  frame_per_second: 66
  gail_reward: 0.04545820474338073
  grad_norm: 0.7550089752826935
  iteration: 12
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.0460568177442138
  ratio: 0.9997953740450052
  success_rate: 0.0
  total_episodes: 2782
  total_loss: -0.046056817815854
  total_steps: 260000
  total_time: 3888.070378780365

===== gail Training Iteration 13 =====:
  adv_mean: null
  discriminator_loss: 0.20499169033689377
  entropy: 1.066640657492173
  episode_reward: 19.628795103240236
  frame_per_second: 66
  gail_reward: 0.059453487635040894
  grad_norm: 1.340001206825941
  iteration: 13
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.06023244981486828
  ratio: 0.9994386241986202
  success_rate: 0.0
  total_episodes: 3119
  total_loss: -0.06023244977188416
  total_steps: 280000
  total_time: 4209.477220773697

===== gail Training Iteration 14 =====:
  adv_mean: null
  discriminator_loss: 0.19935680525616192
  entropy: 0.9275022823841144
  episode_reward: 12.844079945890629
  frame_per_second: 66
  gail_reward: 0.05704169455820169
  grad_norm: 0.9114905527004828
  iteration: 14
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.05748447850824166
  ratio: 0.9997580179037192
  success_rate: 0.0
  total_episodes: 3507
  total_loss: -0.05748447846048153
  total_steps: 300000
  total_time: 4487.622384786606

===== gail Training Iteration 15 =====:
  adv_mean: null
  discriminator_loss: 0.20914805873464315
  entropy: 0.7555052615129031
  episode_reward: 18.291417034911387
  frame_per_second: 66
  gail_reward: 0.049285451537714554
  grad_norm: 0.6992204759365473
  iteration: 15
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail
  policy_loss: -0.049916178150436814
  ratio: 1.0005493029569967
  success_rate: 0.0
